,prices,address,no_beds,baths,sqft,prediction,difference,deal
120,295000.0," 4424 N Monticello Ave, Chicago, IL 60625 ",3.0,3.0,1.248,1233315.1,-938315.125,good deal
459,179900.0," 8118 S Laflin St, Chicago, IL 60620 ",3.0,2.0,2.4,1111924.1,-932024.125,good deal
73,45000.0," 4800 S Lake Park Ave #902A, Chicago, IL 60615 ",3.0,2.0,1.9,976323.6,-931323.625,good deal
558,174900.0," 8632 S University Ave, Chicago, IL 60619 ",4.0,2.0,1.176,1105361.6,-930461.625,good deal
279,305000.0," 8506 S Kedvale Ave, Chicago, IL 60652 ",3.0,3.0,1.248,1233315.1,-928315.125,good deal
30,80000.0," 7000 S Paxton Ave N #2, Chicago, IL 60649 ",3.0,2.0,2.0,1003443.6,-923443.625,good deal
251,329900.0," 235 W Van Buren St UNIT 3403, Chicago, IL 60607 ",3.0,3.0,1.3,1247417.6,-917517.625,good deal
453,178000.0," 8619 W Foster Ave UNIT 1A, Chicago, IL 60656 ",4.0,2.0,1.1,1084750.4,-906750.375,good deal
92,345000.0," 1226 W Huron St APT 102, Chicago, IL 60642 ",3.0,3.0,1.3,1247417.6,-902417.625,good deal
121,575000.0," 4706 N Malden St, Chicago, IL 60640 ",3.0,3.0,2.1,1464378.6,-889378.625,good deal
7,479000.0," 2156 N Damen Ave APT 3, Chicago, IL 60647 ",3.0,3.0,1.7,1355898.1,-876898.125,good deal
168,209000.0," 607 E 91st Pl, Chicago, IL 60619 ",3.0,2.0,2.277,1078566.4,-869566.375,good deal
86,217500.0," 9340 S Eggleston Ave, Chicago, IL 60620 ",3.0,2.0,2.3,1084804.1,-867304.125,good deal
38,597500.0," 1527 W Chestnut St #1, Chicago, IL 60642 ",3.0,3.0,2.1,1464378.6,-866878.625,good deal
208,219900.0," 5000 N Marine Dr #4F, Chicago, IL 60640 ",3.0,2.0,2.277,1078566.4,-858666.375,good deal
489,599900.0," 1432 W Erie St APT 3R, Chicago, IL 60642 ",3.0,3.0,2.03,1445394.6,-845494.625,good deal
319,389000.0," 2124 N Hudson Ave APT 402, Chicago, IL 60614 ",3.0,3.0,1.248,1233315.1,-844315.125,good deal
206,250000.0," 208 W Washington St APT 1208, Chicago, IL 60606 ",3.0,2.0,2.3,1084804.1,-834804.125,good deal
411,680000.0," 732 N Willard Ct, Chicago, IL 60642 ",3.0,3.0,2.26,1507770.9,-827770.875,good deal
325,269000.0," 500 S Clinton St APT 442, Chicago, IL 60607 ",3.0,2.0,2.3,1084804.1,-815804.125,good deal
427,649900.0," 1040 N Kingsbury St, Chicago, IL 60610 ",3.0,3.0,2.1,1464378.6,-814478.625,good deal
