prices,address,no_beds,baths,sqft
879000.0," 2828 W Lyndale St, Chicago, IL 60647 ",6.0,5.0,3700.0
259900.0," 1371 E 48th St #1W, Chicago, IL 60615 ",3.0,4.0,2500.0
625000.0," 9955 S Seeley Ave, Chicago, IL 60643 ",1.0,,
370000.0," 4003 W Argyle St, Chicago, IL 60630 ",,,
159900.0," 3544 W Cortland St APT BA, Chicago, IL 60647 ",2.0,2.0,1450.0
699000.0," 860 N Lake Shore Dr APT 13K, Chicago, IL 60611 ",2.0,2.0,
519000.0," 4604 N Oakview St, Chicago, IL 60656 ",2.0,2.0,1000.0
550000.0," 2422 W 35th St, Chicago, IL 60632 ",4.0,2.0,1908.0
185000.0," 1238 W Pratt Blvd APT 3C, Chicago, IL 60626 ",4.0,3.0,
359900.0," 6413 S Kenneth Ave, Chicago, IL 60629 ",2.0,2.0,1500.0
305000.0," 8506 S Kedvale Ave, Chicago, IL 60652 ",3.0,3.0,1248.0
279900.0," 4549 S Lawler Ave, Chicago, IL 60638 ",3.0,3.0,2100.0
525000.0," 2906 N Damen Ave #1, Chicago, IL 60618 ",2.0,2.0,
250000.0," 3793 W 78th St, Chicago, IL 60652 ",3.0,2.0,1040.0
299900.0," 3432 W Belden Ave #G, Chicago, IL 60647 ",4.0,3.0,3445.0
270000.0," 6234 S Mayfield Ave, Chicago, IL 60638 ",3.0,3.0,
685000.0," 2227 W Mclean Ave, Chicago, IL 60647 ",3.0,2.0,2300.0
429000.0," 5237 W George St, Chicago, IL 60641 ",3.0,2.0,1335.0
310000.0," 161 N Long Ave, Chicago, IL 60644 ",3.0,2.0,2277.0
2800000.0," 4845 S Ellis Ave, Chicago, IL 60615 ",2.0,2.0,1196.0
169900.0," 5553 S Mozart St, Chicago, IL 60629 ",2.0,2.0,1200.0
129000.0," 5331 S Justine St, Chicago, IL 60609 ",2.0,2.0,
250000.0," 6301 N Sheridan Rd APT 10R, Chicago, IL 60660 ",3.0,3.0,1300.0
250000.0," 4940 S East End Ave APT 2B, Chicago, IL 60615 ",1.0,,
205000.0," 3832 W 77th St, Chicago, IL 60652 ",9.0,8.0,
140000.0," 10730 S Rhodes Ave, Chicago, IL 60628 ",2.0,2.0,1438.0
475000.0," 1801 W Diversey Pkwy UNIT 4, Chicago, IL 60614 ",3.0,2.0,1241.0
299900.0," 330 W Diversey Pkwy APT 1404, Chicago, IL 60657 ",4.0,3.0,2365.0
1244900.0," 420 E North Water St, Chicago, IL 60611 ",3.0,1.0,1040.0
90000.0," 1922 W Hood Ave #5A, Chicago, IL 60660 ",4.0,1.0,1296.0
699900.0," 6709 N Bosworth Ave, Chicago, IL 60626 ",3.0,1.0,1000.0
180000.0," 1136 W Pratt Blvd APT GS, Chicago, IL 60626 ",2.0,2.0,1000.0
474900.0," 2833 N Mozart St, Chicago, IL 60618 ",5.0,2.0,2472.0
679990.0," 5628 N Redwood Dr, Chicago, IL 60631 ",1.0,,
155000.0," 3700 W 86th St, Chicago, IL 60652 ",4.0,4.0,1655.0
379000.0," 921 W Agatite Ave #3, Chicago, IL 60640 ",8.0,3.0,
324900.0," 5061 N Kenmore Ave APT 2, Chicago, IL 60640 ",2.0,1.0,
299000.0," 1148 W Columbia Ave APT 1W, Chicago, IL 60626 ",3.0,2.0,1135.0
208900.0," 1056 N Leavitt St, Chicago, IL 60622 ",3.0,4.0,2563.0
825000.0," 10162 S Longwood Dr, Chicago, IL 60643 ",1.0,,
484900.0," 606 W 48th Pl, Chicago, IL 60609 ",6.0,5.0,3700.0
299900.0," 9436 S Saint Lawrence Ave, Chicago, IL 60619 ",3.0,4.0,2500.0
424900.0," 2658 N Mulligan Ave, Chicago, IL 60639 ",1.0,,
150000.0," 4950 N Kimball Ave APT 2W, Chicago, IL 60625 ",,,
269000.0," 1226 W Sunnyside Ave #1E, Chicago, IL 60640 ",2.0,2.0,1450.0
274900.0," 2904 N Halsted St APT 2, Chicago, IL 60657 ",2.0,2.0,
389000.0," 2421 N Sawyer Ave #3, Chicago, IL 60647 ",2.0,2.0,1000.0
